,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,TALRCL,CNE000000WD4,China,"TAIAN LURUN CO.,LTD.",
0,WINTO GROUP (HOLDINGS) LIMITED,KYG9722S1176,Cayman Islands,,
0,WIPRO DS,INE075A01022,,,
0,,US9765241081,,COM,
0,,US97717T1060,CAYMAN ISLANDS,GDR WISDOM MARINE LINES CO LIMITED REGS REG,EQUITY
0,,KYG9722N1007,KY,USD ORDINARY SHS,
0,,US97717P1049,,COM,
0,,US97717W8516,,JAPAN HEDGED EQUITY FD,
0,ETFS METAL SECURITIES LTD.,DE000A0N62G0,"JERSEY, C.I.",UNT EFTS METAL SECS XXXXXX,UNIT
0,,HK0000046224,HK,UNIT TRUST- FUND MANAGER: BOCI-PRUDENTIAL ASSET MA,
0,Cavitation Technologies Inc.,US14964W1045,United States,"Equity, ISIN US14964W1045, WKN A0RP4T, WTC",Equity
0,Gelsenwasser AG,DE0007760001,Germany,"Equity, ISIN DE0007760001, WKN 776000, WWG",Equity
0,,KYG972301090,KY,HKD CL ORDINARY SHS,
0,WESTERNZAGROS RESOURCES LIMITED,CA9600081009,CANADA,SHS WESTERNZAGROS RES. ORD REG,EQUITY
0,"WITS BASIN PR.MIN. DL-,01",US9774271038,United States,"Equity, ISIN US9774271038, WKN 357962, UAP",Equity
0,"MORRISON SUPERMKTS LS-,10",GB0006043169,United Kingdom,"Equity, ISIN GB0006043169, WKN 880225, MZP",Equity
0,"BROWNSHIRE HOLDINGS,INC",US92932M1018,"JERSEY, C.I.",ADR WNS HOLDINGS LTD REG,EQUITY
0,,INE049B01025,,Pharmaceuticals,
0,WOLF MINERALS LTD,AU000000WLF3,AUSTRALIA,SHS WOLF MINERALS LTD,EQUITY
0,WOLONG REAL ESTATE,CNE000000YR0,China,"WOLONG REAL ESTATE GROUP CO.,LTD.",
0,,NL0000395903,Netherlands,Wolters Kluwer N.V.,
0,,PLPRMMD00012,,,
0,,US9780971035,,COM,
0,,KYG9737K1094,KY,HKD SHS,
0,,JP3390600009,JP,COM STK,
0,,US9796851049,US,COM,
0,,US9807451037,,COM,
0,,US98136R1014,US,COM,
0,,US98138H1014,,CL A,
0,,GB00B67G5X01,United Kingdom,Real Estate Investment Trusts (Reits),
0,,US9814191048,,COM,
0,,CA98146P3016,CA,WORLD FINANCIAL SPLIT CORP CLASS A SHARES NEW,
0,,US9814751064,,COM,
0,,CH0002769351,,ANTEILE,
0,,US98148H1095,US,COM,
0,,US98148A2033,UNITED STATES OF AMERICA,SHS WORLD HOCKEY ASSOCIATION COR.,EQUITY
0,,KYG9768F1028,KY,SHS,
0,,US98158H1068,US,COM,
0,,US98159G1076,US,UNIT REPSTG LTD PARTNER INT,
0,,US98157K1007,US,COM,
0,,US98154Y1038,United States,SHS WORLD WIDE CHILD CARE CORP ORD REG,
0,,US98157D1063,,WORLDCOM GROUP COM,
0,,US92936U1097,US,COM,
0,,US98158R1041,US,COM,
0,,GB0003385308,,,
0,,US98159N1028,US,COM,
0,WORTHINGTON INDS,US9818111026,United States,"Equity, ISIN US9818111026, WKN 870882, WTH",Equity
0,WORLEY PARSONS LIMITED,AU000000WOR2,AUSTRALIA,SHS WORLEY PARSONS,EQUITY
0,WOOLWORTHS,AU000000WOW2,,,
0,WOWOW,JP3990770004,,,
0,,US92936U1097,US,COM,
0,,CA9814601089,CA,WORLD FAMOUS PIZZA COMPANY LTD COMMON*N,
0,,JE00B8KF9B49,,Media,
0,,US92937A1025,,ADR,
0,,US98212B1035,,COM,
0,"BERKLEY CORP. DL-,20",US0844231029,United States,"Equity, ISIN US0844231029, WKN 870493, WR1",Equity
0,,US9293281021,,COM,
0,N.A.,CNE000000KF4,China,"ZHEJIANG ZHONGDA GROUP CO.,LTD.",
0,WUSHANG GROUP,CNE000000024,China,WUHAN DEPARTMENT STORE GROUP CO.LTD,
0,WULIANGYE,CNE000000VQ8,China,WULIANGYE YIBIN CO LTD,
0,WULING MOTORS HOLDINGS LIMITED,BMG9604B1090,Bermuda,,
0,CORE CORP.,JP3284000001,Japan,"Equity, ISIN JP3284000001, WKN 257572, LJ1",Equity
0,MEIJI HOLDINGS CO.LTD,JP3918000005,Japan,"Equity, ISIN JP3918000005, WKN A0RL1S, 3M0",Equity
0,WUXI SUNLIT SCIENCE AND TECH CO LTD,CNE100001SD9,PRC,,ORD SH
0,,US9293581099,,COM,
0,,US98260M1009,US,COM,
0,,GB00B5N5WH70,GB,ORD GBP0.001,
0,WYNN MACAU LTD,KYG981491007,Cayman Islands,"Equity, ISIN KYG981491007, WKN A0YA9J, 8WY",Equity
0,Wynn Resorts Ltd.,US9831341071,United States,"Equity, ISIN US9831341071, WKN 663244, WYR",Equity
0,,GB0009842898,GB,ORD GBP 0.25,
0,XAAR,GB0001570810,UNITED KINGDOM,SHS XAAR PLC,EQUITY
0,XANADU MINES LTD,AU000000XAM0,AUSTRALIA,SHS XANADU MINES ORD REG,EQUITY
0,XCEL BRANDS INC (FORMERLY KNOWN AS NETFABRIC HOLDI,US98400M1018,UNITED STATES OF AMERICA,SHS XCEL BRANDS INC ORD REG,EQUITY
0,"XCEL ENERGY DL 2,50",US98389B1008,United States,"Equity, ISIN US98389B1008, WKN 855009, NRN",Equity
0,XEBEC ADSORPTION INC.,CA9838911027,Canada,"Equity, ISIN CA9838911027, WKN A0RPQ3, XB6",Equity
0,XEBIO,JP3428800001,,,
0,CHINA GOLDEN CLASSIC GROUP LIMITED,KYG2119E1061,Cayman Islands,,
0,XEMPLAR ENERGY CORP (FORMERLY CONSOLIDATED PETROQU,CA9840072032,CANADA,SHS XEMPLAR ENERGY CO ORD REG,EQUITY
0,N.A.,CNE000000K33,China,"XIAMEN INTERNATIONAL AIRPORT CO., LTD",
0,XIAMEN INTL PORT H YC 1,CNE1000004N5,China,"Equity, ISIN CNE1000004N5, WKN A0M4ZE, XRG",Equity
0,XPD,CNE000000YL3,China,XIAMEN PORT DEVELOPMENT CO LTD,
0,N.A.,CNE000001D15,China,"XIAMEN TUNGSTEN CO.,LTD.",
0,XINDECO,CNE0000005Y1,China,XIAMEN XINDE CO LTD,
0,KYHG,CNE000000016,China,XIAN KAIYUAN HOLDING GROUP COMPANY LIMITED,
0,XD INVESTMENT,CNE000000925,China,XIANDAI INVESTMENT CO LTD,
0,MATSUI CONSTRUCTION COMPANY LIMITED,JP3863600007,JAPAN,SHS MATSUI CONST CO LT ORD REG,EQUITY
0,,KYG9828P1081,KY,SHS,
0,XILAM ANIMATION,FR0004034072,FRANCE,SHS XILAM ANIMATION,EQUITY
0,Xilinx Inc.,US9839191015,United States,"Equity, ISIN US9839191015, WKN 880135, XIX",Equity
0,,KYG9830E1098,KY,HKD SHS,
0,N.A.,CNE000000ZH8,China,"XINHU ZHONGBAO CO.,LTD.",
0,N.A.,CNE000000JL4,China,"XINJIANG JOINWORLD CO.,LTD.",
0,N.A.,CNE0000019W6,China,"XINJIANG TIANFU THERMOELECTRIC CO.,LTD.",
0,TSC,CNE000000XV4,China,XINJIANG TIANSHAN CEMENT CO LTD,
0,N.A.,CNE000000NG6,China,"XINJIANG FRIENDSHIP(GROUP) CO.,LTD",
0,XINMING CHINA HOLDINGS LIMITED,KYG9830D1016,Cayman Islands,,
0,,JP3474610007,JP,COM STK,
0,"XINTE ENERGY CO., LTD.",CNE1000023G9,PRC,,
0,,SG1O33912138,SG,UNIT TRUSTS,
0,XINYI GLASS HOLDING HD-10,KYG9828G1082,Cayman Islands,"Equity, ISIN KYG9828G1082, WKN A0DQJN, XI9",Equity
0,,KYG9829N1025,KY,HKD SHS,
0,XINYUAN REAL ESTATE ADR,US98417P1057,United States,"Equity, ISIN US98417P1057, WKN A0M8JH, 3XRA",Equity
0,,CA46428L1004,CANADA,SHS ISHARES MSCI EAFE INDEX FD (CADH),EQUITY
0,GINDE,CNE000000008,China,HUNAN GINDE DEVELOPMENT CO LTD,
0,XIWANG PROPERTY (PREVIOUSLY: XIWANG SUGAR HOLDINGS,BMG9829U1062,BERMUDA,SHS XIWANG PROPERTY ORD REG,EQUITY
0,XIWANG SPECIAL STEEL COMPANY LTD,HK0000101367,HONG KONG,SHS XIWANG SPECIAL ST ORD REG,EQUITY
0,,CA98418B1058,CA,XXL ENERGY CORP COMMON,
0,,JE00BH6XDL31,JE,ORD USD0.000001,
0,,US78464A7550,,S&P METALS & MNG ETF,
0,XMET INC.,CA98376P1045,Canada,"Equity, ISIN CA98376P1045, WKN A1C3CM, 3XM",Equity
0,,US74347X8801,,ULTRA FTSE CHINA 25,
0,,SG9999003735,SG,NPV,
0,"SOLITARIO EXPL.+RO.DL-,01",US8342EP1070,United States,"Equity, ISIN US8342EP1070, WKN A0Q4KV, RJO",Equity
0,,US9837931008,,COM,
0,XSTATE RESOURCES,AU000000XST7,AUSTRALIA,SHS XSTATE RESOURCES LTD,EQUITY
0,"XTEP INTL HOL.REGS HD-,01",KYG982771092,Cayman Islands,"Equity, ISIN KYG982771092, WKN A0Q2HL, 4QI",Equity
0,XTIERRA RESOURCES LIMITED,CA98417Q1037,CANADA,SHS XTIERRA RESOURCES ORD REG,EQUITY
0,XTL BIOPHARMAC,IL0010854979,,,
0,,US98385X1063,,COM,
0,,CA46431F1080,CANADA,SHS ISHARES DIVERSIFIED MONTHLY INCOME FUND,EQUITY
0,XTREME COIL DRILLING CORP,CA98419V1004,CANADA,SHS XTREME DRILLING AND COIL SERVICES CORP. O,EQUITY
0,XVIVO PERFUSION AB,SE0004840718,SWEDEN,SHS XVIVO PERFUSION AB ORD REG,EQUITY
0,,US98419M1009,,COM,
0,N.A.,CNE000001CM5,China,YABAO PHARMACEUTICAL GROUP CO. LTD.,
0,,JP3990600003,JP,COM STK,
0,,JP3933000006,JP,COM STK,
0,,US98427L1026,US,COM,
0,YADEA GROUP HOLDINGS LTD.,KYG9830F1063,Cayman Islands,,
0,Yahoo! Inc.,US9843321061,United States,"Equity, ISIN US9843321061, WKN 900103, YHO",Equity
